"species_a","species_b","relationship_type","source","confidence","notes"
"Solanum lycopersicum","Ocimum basilicum","GROWS_WELL_WITH","classic companion planting (Streib 1989","NPR extension)","high"
"Capsicum annuum","Ocimum basilicum","GROWS_WELL_WITH","classic companion planting (Riotte 1978)","high","Basil masks Capsicum scent from pests and repels some aphids and flies. Recommend interplanting."
"Solanum lycopersicum","Daucus carota","GROWS_WELL_WITH","companion planting reference (Streib 1989)","medium","Carrots grow deep (taproot) while tomatoes grow shallow — complementary root zones. Neither crowds the other; carrots break up soil benefiting tomato roots."
"Capsicum annuum","Daucus carota","GROWS_WELL_WITH","companion planting reference (Streib 1989)","medium","Root-depth complementarity; carrots go deep"
"Solanum lycopersicum","Brassica oleracea","INHIBITS","companion planting reference/NPR extension","medium","Tomatoes and brassicas have conflicting root exudates and compete for N; tomatoes also shade brassicas"
"Solanum tuberosum","Armoracia rusticana","GROWS_WELL_WITH","permaculture/companion planting literature","medium","Armoracia rusticana (horseradish) planted at row edges reputed to repel Colorado potato beetle on Solanum tuberosum; primarily a border/repellent plant strategy."
"Solanum melongena","Phaseolus vulgaris","GROWS_WELL_WITH","companion planting reference (Streib 1989)","medium","Beans fix atmospheric N benefiting nitrogen-demanding eggplant; beans grow vertically and do not shade eggplant significantly; eggplant shades beans slightly — slight one-way benefit."
"Solanum lycopersicum","Zea mays","INHIBITS","companion planting literature (Riotte 1978)","medium","Corn canopy shades tomato sufficiently to reduce fruit set in many conditions; the negative effect is primarily height/canopy shading in the same bed; if grown as 3-sisters with beans it can benefit but direct tomato-corn proximity is generally negative."
"Solanum tuberosum","Solanum lycopersicum","INHIBITS","companion planting literature (Riotte 1978)","high","Both Solanaceae subject to same pests (Colorado potato beetle"
"Solanum melongena","Apium graveolens","GROWS_WELL_WITH","companion planting references","low","Some sources recommend celery shading eggplant during summer heat; evidence is limited and specific to hot-climate conditions; included at low confidence only."
"Capsicum annuum","Conium maculatum","INHIBITS","general allelopathy knowledge","medium","Fennel and related Apiaceae produce allelopathic compounds that stunt growth of many vegetables including Capsicum; if applied sparingly as a border herb the effect may be mild but direct proximity is generally inhibitory."
"Phaseolus vulgaris","Allium cepa/Allium sativum","INHIBITS","companion planting literature (Riotte 1978)","high","Onions/alliums slow growth and reduce yield of common bean (Phaseolus vulgaris). Documented in multiple companion-planting lists."
"Trifolium repens","Brassica oleracea","GROWS_WELL_WITH","permaculture/clover intercropping references","medium","Clover as living mulch smothers weeds around brassicas"
"Ocimum basilicum","Thymus vulgaris","GROWS_WELL_WITH","companion planting/herb garden references","low","Basil and thyme have overlapping pest-repellent effects against some flies and beetles; evidence for the pairing specifically is mostly anecdotal; both benefit from similar cultural conditions."
"Ocimum basilicum","Origanum vulgare","GROWS_WELL_WITH","companion planting references","low","Both aromatic Lamiaceae — shared pest-repellent effect against whiteflies/aphids; mostly same-culture herb bed combinations."
"Salvia rosmarinus","Phaseolus vulgaris","GROWS_WELL_WITH","companion planting (Riotte 1978)","high","Rosemary reputed to repel bean beetle (bean weevil) when grown near beans; also repels cabbage moth and carrot fly. Specifically noted for Phaseolus."
"Salvia rosmarinus","Brassica oleracea","GROWS_WELL_WITH","companion planting references","medium","Rosemary masks cabbage scent from cabbage moth and repels flea beetles on brassicas. Mulch/repellent effect."
"Salvia officinalis","Daucus carota","GROWS_WELL_WITH","companion planting literature","medium","Sage repels carrot fly (Psila rosae) — noted in European carrot-growing guides. Low-care pairing."
"Thymus vulgaris","Brassica oleracea","GROWS_WELL_WITH","companion planting literature","medium","Thyme masks cabbage scent from cabbage worms and imported cabbage butterfly (Pieris rapae). Established repellant pairing."
"Lavandula angustifolia","Brassica oleracea","GROWS_WELL_WITH","companion planting references","medium","Lavender repels many brassica pests including flea beetle and cabbage moth. Aromatic companion effect."
"Daucus carota","Foeniculum vulgare","GROWS_WELL_WITH","companion planting literature","high","Dill (Foeniculum vulgare common garden dill) attracts beneficial parasitoid wasps and hoverflies that prey on carrot fly and aphids. carrot-flies are a classic nemesis of Daucus carota; dill as trap/distraction crop is established."
"Daucus carota","Apium graveolens","INHIBITS","companion planting references (Riotte 1978)","medium","Celery and carrot competing for same soil zone and similar N needs; celery shade may stunt carrot tops — generally recommended to separate."
"Anethum graveolens","Brassica oleracea","GROWS_WELL_WITH","companion planting references","medium","Dill attracts beneficial insects and some aphid predators that benefit brassicas; dill grown near brassicas historically recommended."
"Petroselinum crispum","Phaseolus vulgaris","INHIBITS","companion planting references","low","Parsley claimed to attract beneficial insects but some sources warn it competes with beans for soil nutrients; evidence weak; listed at low confidence as an uncertain/possibly negative pairing."
"Lactuca sativa","Coriandrum sativum","GROWS_WELL_WITH","companion planting references","low","Coriander attracts predatory insects beneficial near lettuce; supported by many herb-vegetable companion guides."
"Lactuca sativa","Glechoma hederacea","INHIBITS","companion planting literature","low","Glechoma (ground ivy) aggressively spreads and can smother lettuce in garden beds; allelopathic potential unclear but widely considered weedy groundcover; caution noted."
